Galaxy,Right Ascension,Declination,Distance (kly)
GALFA-Dw4[90],N/A,N/A,
KKH 22,03h 46m 48.5s,+68° 05′ 46″,10700
NGC 3741,11h 36m 05s,+45° 17′ 02″,10000
KK 35,N/A,N/A,
HIPASS J1247-77,N/A,N/A,
NGC 2366,7h 28m 54.6s,+69° 12′ 57″,10000
NGC 1569 (UGC 3056),4h 30m 49.1s,+64° 50′ 53″,10960
ESO 321-014[89],N/A,N/A,
UGC 8833,N/A,N/A,
Sculptor dIG (ESO 349–31),00h 08m 13.36s,−34° 34′ 42.0″,10440
UGC 4483,N/A,N/A,
"dw0910p7326 (""Blobby"")",N/A,N/A,
UGCA 92,N/A,N/A,
IC 342,03h 46m 48.5s,+68° 05′ 46″,10700
UGCA 15 (DDO 6),N/A,N/A,
KKs 58,N/A,N/A,
KKH 37 (Mai 16),N/A,N/A,
UGCA 105,N/A,N/A,
Holmberg II (DDO 50 UGC 4305),08h 19m 04.98s,+70° 43′ 12.1″,11060
NGC 5102,13h 21m 57.6s,−36° 37′ 49″,12100
NGC 5237,N/A,N/A,
ESO 325-11,N/A,N/A,
ESO 540-030 (KDG 2),00h 49m 21.1s,−18° 04′ 34″,11350
NGC 247,00h 47m 08.5s,−20° 45′ 37″,11100
F6D1 (FM 1 PGC 3097828),N/A,N/A,
ESO 540-032,N/A,N/A,
ESO 383-087 (ISG 39),N/A,N/A,
NGC 5206,N/A,N/A,
KK 179 (ESO 269-37),N/A,N/A,
Sculptor Galaxy (NGC 253),00h 47m 33s,−25° 17′ 18″,11400
DDO 71 (UGC 5428),N/A,N/A,
Camelopardalis B,N/A,N/A,
Messier 82,09h 55m 52.2s,+69° 40′ 47″,11900
NGC 5253,13h 39m 55.9631s,−31° 38′ 24.388″,10900
M81 Dwarf A (KDG 52),N/A,N/A,
KK 77 (F12D1),N/A,N/A,
NGC 2976,09h 47m 15.458s,+67° 54′ 58.97″,11600
Camelopardalis A,N/A,N/A,
KK 211 (AM 1339–445),N/A,N/A,
PGC 51659 (UKS 1424–460),N/A,N/A,
KDG 61,N/A,N/A,
NGC 4945,13h 05m 27.5s,−49° 28′ 06″,11700
NGC 6789,19h 16m 41s,+63° 58′ 23″,12000
Messier 81,09h 55m 33.2s,+69° 3′ 55″,11800
Holmberg IX (UGC 5336 DDO 66),09h 57m 32.1s,+69° 02′ 46″,12000
UGCA 292 (CVn I dwA),N/A,N/A,
BK 5N,N/A,N/A,
DDO 78 (KK 89),N/A,N/A,
F8D1,N/A,N/A,
UGC 4459 (DDO 53),N/A,N/A,
Centaurus A (NGC 5128),13h 25m 27.6s,−43° 01′ 09″,12000
KDG 64 (UGC 5442),N/A,N/A,
KKs 54,N/A,N/A,
NGC 5011C (ESO 269–68),N/A,N/A,
Centaurus N,N/A,N/A,
KK 213,N/A,N/A,
KK 203,N/A,N/A,
