Galaxy,Right Ascension,Declination,Distance (light-years)
"Cassiopeia Dwarf (Cas dSph, Andromeda VII)",23h 26m 31.0s,+50° 41′ 31″,2.45 Mly (0.75 Mpc)
Andromeda XXVI,N/A,N/A,N/A
Cetus Dwarf,00h 26m 11.0s,−11° 02′ 40″,2.46 ± 0.08 Mly (755 ± 24 kpc)
Pisces III (Andromeda XIII),N/A,N/A,N/A
Andromeda XV,N/A,N/A,N/A
M32 (NGC 221),00h 42m 41.8s,+40° 51′ 55″,2.49 ± 0.08 Mly (763 ± 24 kpc)
Andromeda IX,00h 52m 53.0s,+43° 11′ 45″,2.50 ± 0.08 Mly (766 ± 25 kpc)
Pisces Dwarf (LGS 3),01h 03m 55.0s,+21° 53′ 06″,2.51 ± 0.08 Mly (769 ± 25 kpc)
Cassiopeia III (Andromeda XXXII),N/A,N/A,N/A
Andromeda V,01h 10m 17.1s,+47° 37′ 41″,2.52 ± 0.09 Mly (773 ± 28 kpc)
Lacerta I (Andromeda XXXI),N/A,N/A,N/A
NGC 147 (DDO 3),00h 33m 12.1s,+48° 30′ 32″,2.53 ± 0.11 Mly (780 ± 30 kpc)
Andromeda Galaxy (M31),00h 42m 44.3s,+41° 16′ 9″,765 kpc (2.50 Mly)
Pegasus Dwarf Spheroidal (Andromeda VI),23h 51m 46.3s,+24° 34′ 57″,2.7 ± 0.1 Mly (820 ± 20 kpc)
Perseus I (Andromeda XXXIII),N/A,N/A,N/A
Andromeda XIV (Pisces IV),N/A,N/A,N/A
Andromeda I,00h 45m 39.8s,+38° 02′ 28″,2.40 ± 0.08 Mly (735 ± 23 kpc)
Andromeda XXVIII,N/A,N/A,N/A
M110 (NGC 205),00h 40m 22.05446s,+41° 41′ 07.4963″,"2,690 ± 90 kly (825 ± 28 kpc)"
Andromeda VIII,00h 42m 06.0s,+40° 37′ 00″,2.7 Mly (0.83 Mpc)
Andromeda XXIX,N/A,N/A,N/A
Triangulum Galaxy (M33),01h 33m 50.02s,+30° 39′ 36.7″,970 kpc (3.2 Mly)
Andromeda XXI[64],23h 54m 47.7s,+42° 28′ 15″,859 ± 51 kiloparsecs (2.80 ± 0.17 Mly)
Tucana Dwarf,22h 41m 49.0s,−64° 25′ 12″,3.2 Mly
Andromeda X,01h 06m 33.9s,+44° 48′ 16″,N/A
Andromeda XXIV,N/A,N/A,N/A
Pegasus Dwarf Irregular (DDO 216),23h 28m 36.2s,+14° 44′ 35″,3.0 ± 0.1 Mly (920 ± 30 kpc)
Andromeda XII,N/A,N/A,N/A
"Wolf-Lundmark-Melotte (WLM, DDO 221)",00h 01m 58.1s,−15° 27′ 39″,3.04 ± 0.11 Mly (930 ± 30 kpc)
Andromeda XIX[67],00h 19m 32.10s,+35° 02′ 37.1″,"2,651 kly (812.8 kpc)"
Andromeda XXII[64],01h 27m 40s,+28° 05′ 25″,"940–1,033 kiloparsecs (3.07×10^6–3.37×10^6 ly)"
Aquarius Dwarf Galaxy (DDO 210),20h 46m 51.8s,−12° 50′ 53″,3.2 ± 0.2 Mly (980 ± 50 kpc)
Pisces VII (Triangulum III),N/A,N/A,N/A
Sagittarius Dwarf Irregular Galaxy (SagDIG),19h 29m 59.0s,−17° 40′ 41″,3.39±0.23 Mly (1.04±0.07 Mpc)
UGC 4879 (VV124)[69],09h 16m 02.023s,+52° 50′ 42.05″,4.18 ± 0.41 Mly (1.283 ± 0.126 Mpc)
Andromeda XVIII[67],00h 02m 14.5s,+45° 05′ 20″,"4,420 ± 290 kly (1,355 ± 88 kpc)"
Antlia Dwarf,10h 04m 03.9s,−27° 19′ 55″,1.32 ± 0.06
"Sextans A (UGCA 205, DDO 75)",10h 11m 00.8s,−04° 41′ 34″,4.31 ± 0.13 Mly (1.32 ± 0.04 Mpc)
NGC 3109,10h 03m 06.9s,−26° 09′ 34″,1.333 ± 0.19 Mpc (4.348 ± 0.6197 Mly)
Antlia B,N/A,N/A,N/A
Sextans B (UGC 5373),10h 00m 00.1s,+05° 19′ 56″,4.44 ± 0.23 Mly (1.36 ± 0.07 Mpc)
Tucana B,N/A,N/A,N/A
Cassiopeia 1,N/A,N/A,N/A
Leo P,10h 21m 45.123s,+18° 05′ 16.89″,"5,284 kly (1,620 kpc)"
IC 5152,22h 02m 41.521s ,−51° 17′ 47.20″,5.87 ± 1.22 Mly(1.801 ± 0.374 Mpc)
NGC 300,00h 54m 53.5s,−37° 41′ 04″,6.07 ± 0.23 Mly (1.86 ± 0.07 Mpc)
KKR 25,16h 13m 47.9s,+54° 22′ 16″,6.37 ± 0.35 Mly (1.954 ± 0.108 Mpc)
ESO 410-G005,N/A,N/A,N/A
ESO 294-010,N/A,N/A,N/A
NGC 55,00h 14m 53.6s,−39° 11′ 48″,6.5 ± 0.65 Mly(2.00 ± 0.2 Mpc)
KKs 3,02h 24m 44.4s,−73° 30′ 51″,N/A
KKR 3 (KK 230),N/A,N/A,N/A
UGCA 438 (ESO 407-018),N/A,N/A,N/A
